gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000143322	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1q25.2	protein_coding	46	1396	3.30	299	16508	1.81	1522	806	52.96	41	2.69	46	Cancer Gene Census
ENSG00000148584	A1CF	APOBEC1 complementation factor	10q11.23	protein_coding	46	1396	3.30	262	16508	1.59	1522	194	12.75	297	19.51	49	Cancer Gene Census
ENSG00000196914	ARHGEF12	Rho guanine nucleotide exchange factor 12	11q23.3	protein_coding	46	1396	3.30	306	16508	1.85	1522	292	19.19	288	18.92	47	Cancer Gene Census
ENSG00000197535	MYO5A	myosin VA	15q21.2	protein_coding	46	1396	3.30	366	16508	2.22	1522	189	12.42	434	28.52	46	Cancer Gene Census
ENSG00000100852	ARHGAP5	Rho GTPase activating protein 5	14q12	protein_coding	45	1396	3.22	360	16508	2.18	1522	445	29.24	224	14.72	48	Cancer Gene Census
ENSG00000105976	MET	MET proto-oncogene, receptor tyrosine kinase	7q31.2	protein_coding	45	1396	3.22	350	16508	2.12	1522	536	35.22	140	9.20	47	Cancer Gene Census
ENSG00000119772	DNMT3A	DNA methyltransferase 3 alpha	2p23.3	protein_coding	45	1396	3.22	338	16508	2.05	1522	473	31.08	68	4.47	49	Cancer Gene Census
ENSG00000137812	KNL1	kinetochore scaffold 1	15q15.1	protein_coding	45	1396	3.22	333	16508	2.02	1522	152	9.99	503	33.05	49	Cancer Gene Census
ENSG00000156650	KAT6B	lysine acetyltransferase 6B	10q22.2	protein_coding	45	1396	3.22	349	16508	2.11	1522	202	13.27	347	22.80	45	Cancer Gene Census
ENSG00000180611	MB21D2	Mab-21 domain containing 2	3q29	protein_coding	45	1396	3.22	198	16508	1.20	1522	734	48.23	164	10.78	33	Cancer Gene Census
ENSG00000185811	IKZF1	IKAROS family zinc finger 1	7p12.2	protein_coding	45	1396	3.22	338	16508	2.05	1522	646	42.44	104	6.83	47	Cancer Gene Census
ENSG00000196220	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	3p25.3	protein_coding	45	1396	3.22	298	16508	1.81	1522	95	6.24	616	40.47	47	Cancer Gene Census
ENSG00000101972	STAG2	stromal antigen 2	Xq25	protein_coding	44	1396	3.15	400	16508	2.42	1522	0	0.00	0	0.00	48	Cancer Gene Census
ENSG00000131023	LATS1	large tumor suppressor kinase 1	6q25.1	protein_coding	44	1396	3.15	285	16508	1.73	1522	189	12.42	439	28.84	48	Cancer Gene Census
ENSG00000151702	FLI1	Fli-1 proto-oncogene, ETS transcription factor	11q24.3	protein_coding	44	1396	3.15	201	16508	1.22	1522	296	19.45	293	19.25	46	Cancer Gene Census
ENSG00000164330	EBF1	EBF transcription factor 1	5q33.3	protein_coding	44	1396	3.15	269	16508	1.63	1522	210	13.80	489	32.13	47	Cancer Gene Census
ENSG00000167258	CDK12	cyclin dependent kinase 12	17q12	protein_coding	44	1396	3.15	371	16508	2.25	1522	461	30.29	141	9.26	47	Cancer Gene Census
ENSG00000169184	MN1	MN1 proto-oncogene, transcriptional regulator	22q12.1	protein_coding	44	1396	3.15	294	16508	1.78	1522	322	21.16	325	21.35	49	Cancer Gene Census
ENSG00000197157	SND1	staphylococcal nuclease and tudor domain containing 1	7q32.1	protein_coding	44	1396	3.15	283	16508	1.71	1522	496	32.59	155	10.18	48	Cancer Gene Census
ENSG00000107485	GATA3	GATA binding protein 3	10p14	protein_coding	43	1396	3.08	386	16508	2.34	1522	290	19.05	318	20.89	43	Cancer Gene Census
ENSG00000114423	CBLB	Cbl proto-oncogene B	3q13.11	protein_coding	43	1396	3.08	270	16508	1.64	1522	537	35.28	182	11.96	44	Cancer Gene Census
ENSG00000116731	PRDM2	PR/SET domain 2	1p36.21	protein_coding	43	1396	3.08	333	16508	2.02	1522	213	13.99	325	21.35	45	Cancer Gene Census
ENSG00000182578	CSF1R	colony stimulating factor 1 receptor	5q32	protein_coding	43	1396	3.08	247	16508	1.50	1522	190	12.48	503	33.05	43	Cancer Gene Census
ENSG00000185920	PTCH1	patched 1	9q22.32	protein_coding	43	1396	3.08	388	16508	2.35	1522	172	11.30	478	31.41	46	Cancer Gene Census
ENSG00000100697	DICER1	dicer 1, ribonuclease III	14q32.13	protein_coding	42	1396	3.01	386	16508	2.34	1522	282	18.53	303	19.91	43	Cancer Gene Census
ENSG00000119397	CNTRL	centriolin	9q33.2	protein_coding	42	1396	3.01	351	16508	2.13	1522	195	12.81	453	29.76	43	Cancer Gene Census
ENSG00000123473	STIL	STIL centriolar assembly protein	1p33	protein_coding	42	1396	3.01	247	16508	1.50	1522	240	15.77	258	16.95	42	Cancer Gene Census
ENSG00000186174	BCL9L	BCL9 like	11q23.3	protein_coding	42	1396	3.01	348	16508	2.11	1522	296	19.45	273	17.94	42	Cancer Gene Census
ENSG00000101096	NFATC2	nuclear factor of activated T cells 2	20q13.2	protein_coding	41	1396	2.94	327	16508	1.98	1522	539	35.41	116	7.62	42	Cancer Gene Census
ENSG00000136492	BRIP1	BRCA1 interacting protein C-terminal helicase 1	17q23.2	protein_coding	41	1396	2.94	275	16508	1.67	1522	553	36.33	87	5.72	42	Cancer Gene Census
ENSG00000141646	SMAD4	SMAD family member 4	18q21.2	protein_coding	41	1396	2.94	386	16508	2.34	1522	166	10.91	542	35.61	42	Cancer Gene Census
ENSG00000070371	CLTCL1	clathrin heavy chain like 1	22q11.21	protein_coding	40	1396	2.87	315	16508	1.91	1522	344	22.60	287	18.86	42	Cancer Gene Census
ENSG00000141968	VAV1	vav guanine nucleotide exchange factor 1	19p13.3	protein_coding	40	1396	2.87	277	16508	1.68	1522	136	8.94	486	31.93	40	Cancer Gene Census
ENSG00000147548	NSD3	nuclear receptor binding SET domain protein 3	8p11.23	protein_coding	40	1396	2.87	297	16508	1.80	1522	449	29.50	373	24.51	40	Cancer Gene Census
ENSG00000165392	WRN	WRN RecQ like helicase	8p12	protein_coding	40	1396	2.87	264	16508	1.60	1522	174	11.43	662	43.50	42	Cancer Gene Census
ENSG00000029363	BCLAF1	BCL2 associated transcription factor 1	6q23.3	protein_coding	39	1396	2.79	242	16508	1.47	1522	208	13.67	409	26.87	38	Cancer Gene Census
ENSG00000091831	ESR1	estrogen receptor 1	6q25.1, 6q25.2	protein_coding	39	1396	2.79	228	16508	1.38	1522	187	12.29	431	28.32	40	Cancer Gene Census
ENSG00000113594	LIFR	LIF receptor subunit alpha	5p13.1	protein_coding	39	1396	2.79	330	16508	2.00	1522	901	59.20	50	3.29	39	Cancer Gene Census
ENSG00000164398	ACSL6	acyl-CoA synthetase long chain family member 6	5q31.1	protein_coding	39	1396	2.79	215	16508	1.30	1522	151	9.92	548	36.01	41	Cancer Gene Census
ENSG00000135903	PAX3	paired box 3	2q36.1	protein_coding	38	1396	2.72	232	16508	1.41	1522	280	18.40	204	13.40	39	Cancer Gene Census
ENSG00000136167	LCP1	lymphocyte cytosolic protein 1	13q14.13	protein_coding	38	1396	2.72	163	16508	0.99	1522	105	6.90	637	41.85	38	Cancer Gene Census
ENSG00000169083	AR	androgen receptor	Xq12	protein_coding	38	1396	2.72	343	16508	2.08	1522	0	0.00	0	0.00	38	Cancer Gene Census
ENSG00000204843	DCTN1	dynactin subunit 1	2p13.1	protein_coding	38	1396	2.72	275	16508	1.67	1522	491	32.26	53	3.48	40	Cancer Gene Census
ENSG00000051382	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	3q22.3	protein_coding	37	1396	2.65	241	16508	1.46	1522	648	42.58	153	10.05	36	Cancer Gene Census
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2	10q26.13	protein_coding	37	1396	2.65	376	16508	2.28	1522	183	12.02	383	25.16	36	Cancer Gene Census
ENSG00000073282	TP63	tumor protein p63	3q28	protein_coding	37	1396	2.65	402	16508	2.44	1522	742	48.75	161	10.58	37	Cancer Gene Census
ENSG00000085276	MECOM	MDS1 and EVI1 complex locus	3q26.2	protein_coding	37	1396	2.65	444	16508	2.69	1522	797	52.37	106	6.96	41	Cancer Gene Census
ENSG00000113721	PDGFRB	platelet derived growth factor receptor beta	5q32	protein_coding	37	1396	2.65	264	16508	1.60	1522	190	12.48	503	33.05	38	Cancer Gene Census
ENSG00000157404	KIT	KIT proto-oncogene, receptor tyrosine kinase	4q12	protein_coding	37	1396	2.65	338	16508	2.05	1522	290	19.05	282	18.53	39	Cancer Gene Census
ENSG00000179583	CIITA	class II major histocompatibility complex transactivator	16p13.13	protein_coding	37	1396	2.65	321	16508	1.94	1522	370	24.31	212	13.93	39	Cancer Gene Census
ENSG00000057657	PRDM1	PR/SET domain 1	6q21	protein_coding	36	1396	2.58	272	16508	1.65	1522	178	11.70	442	29.04	36	Cancer Gene Census
ENSG00000078177	N4BP2	NEDD4 binding protein 2	4p14	protein_coding	36	1396	2.58	305	16508	1.85	1522	221	14.52	396	26.02	38	Cancer Gene Census
ENSG00000079112	CDH17	cadherin 17	8q22.1	protein_coding	36	1396	2.58	264	16508	1.60	1522	724	47.57	76	4.99	40	Cancer Gene Census
ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2	17q12	protein_coding	36	1396	2.58	355	16508	2.15	1522	464	30.49	140	9.20	30	Cancer Gene Census
ENSG00000196531	NACA	nascent polypeptide associated complex subunit alpha	12q13.3	protein_coding	36	1396	2.58	341	16508	2.07	1522	390	25.62	125	8.21	41	Cancer Gene Census
ENSG00000083093	PALB2	partner and localizer of BRCA2	16p12.2	protein_coding	35	1396	2.51	234	16508	1.42	1522	342	22.47	207	13.60	37	Cancer Gene Census
ENSG00000083799	CYLD	CYLD lysine 63 deubiquitinase	16q12.1	protein_coding	35	1396	2.51	242	16508	1.47	1522	279	18.33	329	21.62	38	Cancer Gene Census
ENSG00000096968	JAK2	Janus kinase 2	9p24.1	protein_coding	35	1396	2.51	291	16508	1.76	1522	201	13.21	647	42.51	36	Cancer Gene Census
ENSG00000100815	TRIP11	thyroid hormone receptor interactor 11	14q32.12	protein_coding	35	1396	2.51	315	16508	1.91	1522	338	22.21	295	19.38	36	Cancer Gene Census
ENSG00000105568	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha	19q13.41	protein_coding	35	1396	2.51	288	16508	1.74	1522	271	17.81	310	20.37	34	Cancer Gene Census
ENSG00000105639	JAK3	Janus kinase 3	19p13.11	protein_coding	35	1396	2.51	281	16508	1.70	1522	199	13.07	402	26.41	38	Cancer Gene Census
ENSG00000114861	FOXP1	forkhead box P1	3p13	protein_coding	35	1396	2.51	282	16508	1.71	1522	86	5.65	663	43.56	35	Cancer Gene Census
ENSG00000137497	NUMA1	nuclear mitotic apparatus protein 1	11q13.4	protein_coding	35	1396	2.51	358	16508	2.17	1522	381	25.03	160	10.51	35	Cancer Gene Census
ENSG00000163520	FBLN2	fibulin 2	3p25.1	protein_coding	35	1396	2.51	285	16508	1.73	1522	92	6.04	629	41.33	35	Cancer Gene Census
ENSG00000164362	TERT	telomerase reverse transcriptase	5p15.33	protein_coding	35	1396	2.51	258	16508	1.56	1522	966	63.47	45	2.96	38	Cancer Gene Census
ENSG00000186716	BCR	BCR activator of RhoGEF and GTPase	22q11.23	protein_coding	35	1396	2.51	275	16508	1.67	1522	342	22.47	309	20.30	37	Cancer Gene Census
ENSG00000048471	SNX29	sorting nexin 29	16p13.13, 16p13.12	protein_coding	34	1396	2.44	220	16508	1.33	1522	362	23.78	219	14.39	34	Cancer Gene Census
ENSG00000073803	MAP3K13	mitogen-activated protein kinase kinase kinase 13	3q27.2	protein_coding	34	1396	2.44	250	16508	1.51	1522	744	48.88	150	9.86	34	Cancer Gene Census
ENSG00000082805	ERC1	ELKS/RAB6-interacting/CAST family member 1	12p13.33	protein_coding	34	1396	2.44	229	16508	1.39	1522	461	30.29	177	11.63	35	Cancer Gene Census
ENSG00000104728	ARHGEF10	Rho guanine nucleotide exchange factor 10	8p23.3	protein_coding	34	1396	2.44	318	16508	1.93	1522	174	11.43	682	44.81	35	Cancer Gene Census
ENSG00000127946	HIP1	huntingtin interacting protein 1	7q11.23	protein_coding	34	1396	2.44	227	16508	1.38	1522	527	34.63	120	7.88	38	Cancer Gene Census
ENSG00000065361	ERBB3	erb-b2 receptor tyrosine kinase 3	12q13.2	protein_coding	33	1396	2.36	381	16508	2.31	1522	395	25.95	127	8.34	33	Cancer Gene Census
ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	1p36.13	protein_coding	33	1396	2.36	276	16508	1.67	1522	199	13.07	321	21.09	33	Cancer Gene Census
ENSG00000099949	LZTR1	leucine zipper like transcription regulator 1	22q11.21	protein_coding	33	1396	2.36	276	16508	1.67	1522	366	24.05	288	18.92	34	Cancer Gene Census
ENSG00000141367	CLTC	clathrin heavy chain	17q23.1	protein_coding	33	1396	2.36	301	16508	1.82	1522	544	35.74	90	5.91	34	Cancer Gene Census
ENSG00000184384	MAML2	mastermind like transcriptional coactivator 2	11q21	protein_coding	33	1396	2.36	256	16508	1.55	1522	339	22.27	222	14.59	33	Cancer Gene Census
ENSG00000009709	PAX7	paired box 7	1p36.13	protein_coding	32	1396	2.29	201	16508	1.22	1522	200	13.14	327	21.48	33	Cancer Gene Census
ENSG00000064933	PMS1	PMS1 homolog 1, mismatch repair system component	2q32.2	protein_coding	32	1396	2.29	183	16508	1.11	1522	389	25.56	105	6.90	32	Cancer Gene Census
ENSG00000103126	AXIN1	axin 1	16p13.3	protein_coding	32	1396	2.29	244	16508	1.48	1522	196	12.88	125	8.21	34	Cancer Gene Census
ENSG00000119535	CSF3R	colony stimulating factor 3 receptor	1p34.3	protein_coding	32	1396	2.29	243	16508	1.47	1522	235	15.44	242	15.90	33	Cancer Gene Census
ENSG00000122779	TRIM24	tripartite motif containing 24	7q33, 7q34	protein_coding	32	1396	2.29	236	16508	1.43	1522	510	33.51	140	9.20	33	Cancer Gene Census
ENSG00000128602	SMO	smoothened, frizzled class receptor	7q32.1	protein_coding	32	1396	2.29	199	16508	1.21	1522	503	33.05	147	9.66	33	Cancer Gene Census
ENSG00000138376	BARD1	BRCA1 associated RING domain 1	2q35	protein_coding	32	1396	2.29	194	16508	1.18	1522	291	19.12	196	12.88	32	Cancer Gene Census
ENSG00000168036	CTNNB1	catenin beta 1	3p22.1	protein_coding	32	1396	2.29	548	16508	3.32	1522	73	4.80	650	42.71	25	Cancer Gene Census
ENSG00000173575	CHD2	chromodomain helicase DNA binding protein 2	15q26.1	protein_coding	32	1396	2.29	355	16508	2.15	1522	296	19.45	336	22.08	32	Cancer Gene Census
ENSG00000179094	PER1	period circadian regulator 1	17p13.1	protein_coding	32	1396	2.29	243	16508	1.47	1522	107	7.03	650	42.71	32	Cancer Gene Census
ENSG00000198053	SIRPA	signal regulatory protein alpha	20p13	protein_coding	32	1396	2.29	145	16508	0.88	1522	469	30.81	221	14.52	33	Cancer Gene Census
ENSG00000198604	BAZ1A	bromodomain adjacent to zinc finger domain 1A	14q13.1, 14q13.2	protein_coding	32	1396	2.29	270	16508	1.64	1522	483	31.73	215	14.13	32	Cancer Gene Census
ENSG00000118007	STAG1	stromal antigen 1	3q22.3	protein_coding	31	1396	2.22	297	16508	1.80	1522	631	41.46	156	10.25	32	Cancer Gene Census
ENSG00000118513	MYB	MYB proto-oncogene, transcription factor	6q23.3	protein_coding	31	1396	2.22	209	16508	1.27	1522	212	13.93	412	27.07	31	Cancer Gene Census
ENSG00000130779	CLIP1	CAP-Gly domain containing linker protein 1	12q24.31	protein_coding	31	1396	2.22	266	16508	1.61	1522	317	20.83	228	14.98	32	Cancer Gene Census
ENSG00000130844	ZNF331	zinc finger protein 331	19q13.42	protein_coding	31	1396	2.22	208	16508	1.26	1522	277	18.20	318	20.89	31	Cancer Gene Census
ENSG00000150457	LATS2	large tumor suppressor kinase 2	13q12.11	protein_coding	31	1396	2.22	260	16508	1.57	1522	94	6.18	653	42.90	31	Cancer Gene Census
ENSG00000157765	SLC34A2	solute carrier family 34 member 2	4p15.2	protein_coding	31	1396	2.22	258	16508	1.56	1522	198	13.01	423	27.79	31	Cancer Gene Census
ENSG00000073792	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	3q27.2	protein_coding	30	1396	2.15	185	16508	1.12	1522	738	48.49	149	9.79	30	Cancer Gene Census
ENSG00000091483	FH	fumarate hydratase	1q43	protein_coding	30	1396	2.15	130	16508	0.79	1522	767	50.39	59	3.88	31	Cancer Gene Census
ENSG00000095015	MAP3K1	mitogen-activated protein kinase kinase kinase 1	5q11.2	protein_coding	30	1396	2.15	385	16508	2.33	1522	223	14.65	505	33.18	31	Cancer Gene Census
ENSG00000107929	LARP4B	La ribonucleoprotein 4B	10p15.3	protein_coding	30	1396	2.15	268	16508	1.62	1522	279	18.33	355	23.32	31	Cancer Gene Census
ENSG00000112175	BMP5	bone morphogenetic protein 5	6p12.1	protein_coding	30	1396	2.15	262	16508	1.59	1522	422	27.73	151	9.92	30	Cancer Gene Census
ENSG00000120457	KCNJ5	potassium inwardly rectifying channel subfamily J member 5	11q24.3	protein_coding	30	1396	2.15	160	16508	0.97	1522	293	19.25	295	19.38	31	Cancer Gene Census
ENSG00000128513	POT1	protection of telomeres 1	7q31.33	protein_coding	30	1396	2.15	208	16508	1.26	1522	503	33.05	158	10.38	33	Cancer Gene Census
ENSG00000138448	ITGAV	integrin subunit alpha V	2q32.1	protein_coding	30	1396	2.15	262	16508	1.59	1522	396	26.02	110	7.23	31	Cancer Gene Census
ENSG00000139263	LRIG3	leucine rich repeats and immunoglobulin like domains 3	12q14.1	protein_coding	30	1396	2.15	246	16508	1.49	1522	406	26.68	115	7.56	31	Cancer Gene Census
ENSG00000140464	PML	PML nuclear body scaffold	15q24.1	protein_coding	30	1396	2.15	263	16508	1.59	1522	213	13.99	389	25.56	30	Cancer Gene Census
ENSG00000147257	GPC3	glypican 3	Xq26.2	protein_coding	30	1396	2.15	158	16508	0.96	1522	0	0.00	0	0.00	30	Cancer Gene Census
ENSG00000160867	FGFR4	fibroblast growth factor receptor 4	5q35.2	protein_coding	30	1396	2.15	236	16508	1.43	1522	245	16.10	477	31.34	32	Cancer Gene Census
ENSG00000162775	RBM15	RNA binding motif protein 15	1p13.3	protein_coding	30	1396	2.15	221	16508	1.34	1522	176	11.56	379	24.90	32	Cancer Gene Census
ENSG00000182866	LCK	LCK proto-oncogene, Src family tyrosine kinase	1p35.2	protein_coding	30	1396	2.15	167	16508	1.01	1522	229	15.05	258	16.95	30	Cancer Gene Census
ENSG00000185630	PBX1	PBX homeobox 1	1q23.3	protein_coding	30	1396	2.15	184	16508	1.11	1522	828	54.40	37	2.43	30	Cancer Gene Census
ENSG00000007237	GAS7	growth arrest specific 7	17p13.1	protein_coding	29	1396	2.08	163	16508	0.99	1522	106	6.96	656	43.10	30	Cancer Gene Census
ENSG00000073578	SDHA	succinate dehydrogenase complex flavoprotein subunit A	5p15.33	protein_coding	29	1396	2.08	191	16508	1.16	1522	502	32.98	23	1.51	29	Cancer Gene Census
ENSG00000077782	FGFR1	fibroblast growth factor receptor 1	8p11.23	protein_coding	29	1396	2.08	234	16508	1.42	1522	447	29.37	373	24.51	32	Cancer Gene Census
ENSG00000097007	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9q34.12	protein_coding	29	1396	2.08	262	16508	1.59	1522	188	12.35	468	30.75	31	Cancer Gene Census
ENSG00000105221	AKT2	AKT serine/threonine kinase 2	19q13.2	protein_coding	29	1396	2.08	167	16508	1.01	1522	378	24.84	225	14.78	32	Cancer Gene Census
ENSG00000109906	ZBTB16	zinc finger and BTB domain containing 16	11q23.2	protein_coding	29	1396	2.08	226	16508	1.37	1522	282	18.53	292	19.19	29	Cancer Gene Census
ENSG00000143379	SETDB1	SET domain bifurcated histone lysine methyltransferase 1	1q21.3	protein_coding	29	1396	2.08	297	16508	1.80	1522	846	55.58	38	2.50	30	Cancer Gene Census
ENSG00000159784	FAM131B	family with sequence similarity 131 member B	7q34	protein_coding	29	1396	2.08	152	16508	0.92	1522	504	33.11	145	9.53	32	Cancer Gene Census
ENSG00000015285	WAS	WASP actin nucleation promoting factor	Xp11.23	protein_coding	28	1396	2.01	150	16508	0.91	1522	0	0.00	0	0.00	28	Cancer Gene Census
ENSG00000072694	FCGR2B	Fc fragment of IgG receptor IIb	1q23.3	protein_coding	28	1396	2.01	96	16508	0.58	1522	843	55.39	32	2.10	27	Cancer Gene Census
ENSG00000079432	CIC	capicua transcriptional repressor	19q13.2	protein_coding	28	1396	2.01	464	16508	2.81	1522	305	20.04	255	16.75	29	Cancer Gene Census
ENSG00000113916	BCL6	BCL6 transcription repressor	3q27.3	protein_coding	28	1396	2.01	220	16508	1.33	1522	740	48.62	159	10.45	30	Cancer Gene Census
ENSG00000115808	STRN	striatin	2p22.2	protein_coding	28	1396	2.01	159	16508	0.96	1522	499	32.79	61	4.01	28	Cancer Gene Census
ENSG00000126777	KTN1	kinectin 1	14q22.3	protein_coding	28	1396	2.01	214	16508	1.30	1522	361	23.72	263	17.28	30	Cancer Gene Census
ENSG00000134371	CDC73	cell division cycle 73	1q31.2	protein_coding	28	1396	2.01	183	16508	1.11	1522	801	52.63	48	3.15	28	Cancer Gene Census
ENSG00000145012	LPP	LIM domain containing preferred translocation partner in lipoma	3q27.3, 3q28	protein_coding	28	1396	2.01	211	16508	1.28	1522	737	48.42	163	10.71	31	Cancer Gene Census
ENSG00000204713	TRIM27	tripartite motif containing 27	6p22.1	protein_coding	28	1396	2.01	135	16508	0.82	1522	421	27.66	173	11.37	27	Cancer Gene Census
ENSG00000215301	DDX3X	DEAD-box helicase 3 X-linked	Xp11.4	protein_coding	28	1396	2.01	309	16508	1.87	1522	0	0.00	0	0.00	30	Cancer Gene Census
ENSG00000286522	H3C2	H3 clustered histone 2	6p22.2	protein_coding	28	1396	2.01	137	16508	0.83	1522	434	28.52	174	11.43	25	Cancer Gene Census
ENSG00000104320	NBN	nibrin	8q21.3	protein_coding	27	1396	1.93	191	16508	1.16	1522	705	46.32	86	5.65	29	Cancer Gene Census
ENSG00000116128	BCL9	BCL9 transcription coactivator	1q21.2	protein_coding	27	1396	1.93	340	16508	2.06	1522	631	41.46	49	3.22	27	Cancer Gene Census
ENSG00000145675	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	5q13.1	protein_coding	27	1396	1.93	577	16508	3.50	1522	167	10.97	551	36.20	27	Cancer Gene Census
ENSG00000162434	JAK1	Janus kinase 1	1p31.3	protein_coding	27	1396	1.93	373	16508	2.26	1522	212	13.93	295	19.38	27	Cancer Gene Census
ENSG00000163513	TGFBR2	transforming growth factor beta receptor 2	3p24.1	protein_coding	27	1396	1.93	252	16508	1.53	1522	74	4.86	642	42.18	30	Cancer Gene Census
ENSG00000163939	PBRM1	polybromo 1	3p21.1	protein_coding	27	1396	1.93	580	16508	3.51	1522	59	3.88	676	44.42	28	Cancer Gene Census
ENSG00000171723	GPHN	gephyrin	14q23.3	protein_coding	27	1396	1.93	215	16508	1.30	1522	316	20.76	303	19.91	29	Cancer Gene Census
ENSG00000172493	AFF1	AF4/FMR2 family member 1	4q21.3, 4q22.1	protein_coding	27	1396	1.93	272	16508	1.65	1522	150	9.86	390	25.62	27	Cancer Gene Census
ENSG00000198561	CTNND1	catenin delta 1	11q12.1	protein_coding	27	1396	1.93	273	16508	1.65	1522	315	20.70	153	10.05	28	Cancer Gene Census
ENSG00000049540	ELN	elastin	7q11.23	protein_coding	26	1396	1.86	238	16508	1.44	1522	522	34.30	125	8.21	28	Cancer Gene Census
ENSG00000104365	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta	8p11.21	protein_coding	26	1396	1.86	214	16508	1.30	1522	469	30.81	295	19.38	26	Cancer Gene Census
ENSG00000106462	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	7q36.1	protein_coding	26	1396	1.86	223	16508	1.35	1522	509	33.44	142	9.33	28	Cancer Gene Census
ENSG00000109685	NSD2	nuclear receptor binding SET domain protein 2	4p16.3	protein_coding	26	1396	1.86	389	16508	2.36	1522	187	12.29	430	28.25	26	Cancer Gene Census
ENSG00000116132	PRRX1	paired related homeobox 1	1q24.2	protein_coding	26	1396	1.86	163	16508	0.99	1522	823	54.07	33	2.17	26	Cancer Gene Census
ENSG00000135605	TEC	transient erythroblastopenia of childhood	4p12, 4p11	protein_coding	26	1396	1.86	146	16508	0.88	1522	254	16.69	296	19.45	26	Cancer Gene Census
ENSG00000138363	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2q35	protein_coding	26	1396	1.86	158	16508	0.96	1522	289	18.99	199	13.07	27	Cancer Gene Census
ENSG00000138795	LEF1	lymphoid enhancer binding factor 1	4q25	protein_coding	26	1396	1.86	133	16508	0.81	1522	138	9.07	415	27.27	27	Cancer Gene Census
ENSG00000145216	FIP1L1	factor interacting with PAPOLA and CPSF1	4q12	protein_coding	26	1396	1.86	152	16508	0.92	1522	280	18.40	290	19.05	26	Cancer Gene Census
ENSG00000178105	DDX10	DEAD-box helicase 10	11q22.3	protein_coding	26	1396	1.86	174	16508	1.05	1522	293	19.25	279	18.33	26	Cancer Gene Census
ENSG00000196092	PAX5	paired box 5	9p13.2	protein_coding	26	1396	1.86	252	16508	1.53	1522	222	14.59	532	34.95	27	Cancer Gene Census
ENSG00000203734	ECT2L	epithelial cell transforming 2 like	6q24.1	protein_coding	26	1396	1.86	192	16508	1.16	1522	205	13.47	409	26.87	26	Cancer Gene Census
ENSG00000054118	THRAP3	thyroid hormone receptor associated protein 3	1p34.3	protein_coding	25	1396	1.79	230	16508	1.39	1522	240	15.77	241	15.83	25	Cancer Gene Census
ENSG00000072364	AFF4	AF4/FMR2 family member 4	5q31.1	protein_coding	25	1396	1.79	241	16508	1.46	1522	153	10.05	551	36.20	26	Cancer Gene Census
ENSG00000110395	CBL	Cbl proto-oncogene	11q23.3	protein_coding	25	1396	1.79	206	16508	1.25	1522	292	19.19	279	18.33	26	Cancer Gene Census
ENSG00000121289	CEP89	centrosomal protein 89	19q13.11	protein_coding	25	1396	1.79	178	16508	1.08	1522	410	26.94	194	12.75	26	Cancer Gene Census
ENSG00000138592	USP8	ubiquitin specific peptidase 8	15q21.2	protein_coding	25	1396	1.79	199	16508	1.21	1522	191	12.55	442	29.04	26	Cancer Gene Census
ENSG00000152207	CYSLTR2	cysteinyl leukotriene receptor 2	13q14.2	protein_coding	25	1396	1.79	114	16508	0.69	1522	98	6.44	647	42.51	27	Cancer Gene Census
ENSG00000164754	RAD21	RAD21 cohesin complex component	8q24.11	protein_coding	25	1396	1.79	197	16508	1.19	1522	782	51.38	52	3.42	27	Cancer Gene Census
ENSG00000165699	TSC1	TSC complex subunit 1	9q34.13	protein_coding	25	1396	1.79	273	16508	1.65	1522	189	12.42	467	30.68	25	Cancer Gene Census
ENSG00000166710	B2M	beta-2-microglobulin	15q21.1	protein_coding	25	1396	1.79	179	16508	1.08	1522	156	10.25	488	32.06	21	Cancer Gene Census
ENSG00000168172	HOOK3	hook microtubule tethering protein 3	8p11.21	protein_coding	25	1396	1.79	158	16508	0.96	1522	484	31.80	286	18.79	26	Cancer Gene Census
ENSG00000182197	EXT1	exostosin glycosyltransferase 1	8q24.11	protein_coding	25	1396	1.79	215	16508	1.30	1522	788	51.77	51	3.35	27	Cancer Gene Census
